DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Apr-2026,EQ,"300.60","311.45","299.00","292.95","310.80","310.45","306.33","391.65","266.60",26146547,"8,00,95,61,646.20",152160
13-Apr-2026,EQ,"284.25","294.00","284.25","299.35","293.90","292.95","291.22","391.65","266.60",13454302,"3,91,81,49,414.80",128614
10-Apr-2026,EQ,"297.40","303.20","296.20","297.35","300.00","299.35","299.74","391.65","262.00",13853270,"4,15,23,86,456.20",103472
09-Apr-2026,EQ,"296.00","299.70","293.00","298.10","297.20","297.35","296.66","391.65","262.00",17580272,"5,21,53,88,221.10",148142
08-Apr-2026,EQ,"293.50","301.50","292.15","277.45","298.75","298.10","297.19","391.65","262.00",26646510,"7,91,90,08,048.40",193311
07-Apr-2026,EQ,"273.20","278.25","271.00","278.70","277.50","277.45","273.71","391.65","262.00",14410706,"3,94,43,58,758.30",136110
06-Apr-2026,EQ,"277.75","279.95","272.15","278.15","278.10","278.70","275.30","391.65","262.00",11923889,"3,28,26,55,859.85",112908
02-Apr-2026,EQ,"275.30","281.15","266.60","281.25","279.00","278.15","272.77","391.65","262.00",13404373,"3,65,62,62,424.15",123656
01-Apr-2026,EQ,"292.00","292.00","280.10","281.00","280.70","281.25","284.03","391.65","262.00",16919233,"4,80,55,39,568.90",140806
30-Mar-2026,EQ,"274.95","285.25","273.10","282.70","281.35","281.00","281.39","391.65","262.00",14757987,"4,15,28,11,184.95",149056
27-Mar-2026,EQ,"290.00","298.50","280.80","284.55","281.80","282.70","285.26","391.65","262.00",29524543,"8,42,20,26,080.05",269107
25-Mar-2026,EQ,"288.20","289.75","281.80","282.25","284.80","284.55","284.89","391.65","262.00",18451485,"5,25,66,23,366.80",142574
24-Mar-2026,EQ,"280.00","283.00","270.70","271.30","282.35","282.25","276.99","391.65","262.00",19542984,"5,41,31,37,517.55",119040
23-Mar-2026,EQ,"280.05","281.00","270.00","287.80","271.95","271.30","273.09","391.65","262.00",14357554,"3,92,09,35,467.65",133171
20-Mar-2026,EQ,"288.50","295.85","286.95","286.00","288.50","287.80","290.11","391.65","258.31",16601274,"4,81,62,37,993.65",116428
19-Mar-2026,EQ,"298.00","298.00","284.40","303.70","287.35","286.00","289.78","391.65","258.31",15494502,"4,48,99,24,935.95",174409
18-Mar-2026,EQ,"300.80","307.45","299.60","300.05","304.00","303.70","303.38","391.65","258.31",9223774,"2,79,83,06,026.75",85570
17-Mar-2026,EQ,"305.30","305.90","298.15","304.95","300.00","300.05","300.84","391.65","258.31",16467622,"4,95,40,83,516.75",140503
16-Mar-2026,EQ,"314.90","318.45","301.10","319.30","305.35","304.95","306.81","391.65","258.31",18589204,"5,70,32,70,089.45",192204
13-Mar-2026,EQ,"323.65","325.35","318.15","326.35","319.80","319.30","320.77","391.65","254.35",7556076,"2,42,37,45,763.35",85268
