DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Apr-2026,EQ,"1,445.00","1,474.90","1,437.10","1,429.40","1,450.30","1,451.30","1,450.85","1,780.10","1,297.70",3993858,"5,79,44,70,556.20",125253
13-Apr-2026,EQ,"1,441.00","1,447.80","1,417.50","1,451.20","1,428.50","1,429.40","1,427.35","1,780.10","1,297.70",2252652,"3,21,53,16,491.60",106276
10-Apr-2026,EQ,"1,452.00","1,457.60","1,421.10","1,464.90","1,451.00","1,451.20","1,438.64","1,780.10","1,297.70",3450066,"4,96,34,15,693.40",227938
09-Apr-2026,EQ,"1,458.90","1,469.00","1,436.00","1,461.00","1,465.80","1,464.90","1,453.12","1,780.10","1,297.70",3101205,"4,50,64,26,555.80",122283
08-Apr-2026,EQ,"1,449.90","1,466.00","1,431.90","1,441.60","1,453.90","1,461.00","1,450.32","1,780.10","1,297.70",4239052,"6,14,79,86,493.00",176059
07-Apr-2026,EQ,"1,391.00","1,446.50","1,388.10","1,403.30","1,440.50","1,441.60","1,435.93","1,780.10","1,297.70",3459049,"4,96,69,67,193.80",130355
06-Apr-2026,EQ,"1,397.00","1,422.30","1,394.10","1,402.20","1,400.00","1,403.30","1,406.71","1,780.10","1,297.70",2134581,"3,00,27,30,845.60",89590
02-Apr-2026,EQ,"1,347.00","1,412.80","1,341.20","1,354.40","1,395.00","1,402.20","1,384.54","1,780.10","1,297.70",6509389,"9,01,24,95,302.30",156129
01-Apr-2026,EQ,"1,399.70","1,399.70","1,349.00","1,341.60","1,356.00","1,354.40","1,367.96","1,780.10","1,297.70",2469237,"3,37,78,10,450.80",105006
30-Mar-2026,EQ,"1,350.00","1,359.20","1,336.20","1,364.40","1,345.10","1,341.60","1,345.87","1,780.10","1,297.70",5541018,"7,45,74,95,502.00",115344
27-Mar-2026,EQ,"1,377.00","1,407.40","1,359.80","1,381.30","1,360.10","1,364.40","1,376.50","1,780.10","1,297.70",8956139,"12,32,81,67,695.80",195122
25-Mar-2026,EQ,"1,348.00","1,411.40","1,348.00","1,373.30","1,385.60","1,381.30","1,383.83","1,780.10","1,297.70",4167275,"5,76,68,02,478.80",215488
