DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Apr-2026,EQ,"362.30","369.90","362.00","349.40","366.45","366.65","366.68","508.45","316.20",11204269,"4,10,84,28,564.45",97863
13-Apr-2026,EQ,"346.10","351.00","340.80","360.60","350.50","349.40","347.40","508.45","316.20",9327976,"3,24,05,25,116.05",84025
10-Apr-2026,EQ,"361.00","366.90","357.05","358.00","361.00","360.60","360.82","508.45","316.20",6347879,"2,29,04,35,689.20",80002
09-Apr-2026,EQ,"361.80","362.90","354.30","364.25","358.00","358.00","358.26","508.45","316.20",13372048,"4,79,06,03,279.65",113155
08-Apr-2026,EQ,"354.00","367.65","351.00","331.40","364.95","364.25","360.46","508.45","316.20",25974676,"9,36,28,21,334.90",220076
07-Apr-2026,EQ,"325.00","332.75","319.55","328.05","329.65","331.40","324.96","508.45","316.20",10264622,"3,33,56,16,892.95",116841
06-Apr-2026,EQ,"326.00","330.60","317.75","326.00","328.85","328.05","323.19","508.45","316.20",5089386,"1,64,48,60,550.05",50956
02-Apr-2026,EQ,"329.00","329.65","318.25","335.55","326.35","326.00","322.62","508.45","316.20",7595679,"2,45,04,93,604.60",83085
01-Apr-2026,EQ,"350.00","350.00","333.20","335.40","335.00","335.55","339.52","508.45","316.20",10224051,"3,47,12,52,724.25",87416
30-Mar-2026,EQ,"332.00","341.60","325.00","340.90","335.30","335.40","336.84","508.45","316.20",10584452,"3,56,52,39,553.30",78731
27-Mar-2026,EQ,"352.50","357.70","338.25","344.00","340.25","340.90","344.60","508.45","316.20",15593599,"5,37,35,50,318.80",160302
25-Mar-2026,EQ,"345.00","348.95","337.55","336.80","345.30","344.00","343.84","508.45","316.20",13128269,"4,51,39,84,111.90",129526
24-Mar-2026,EQ,"331.00","338.45","319.60","319.15","336.10","336.80","331.59","508.45","316.20",11512642,"3,81,75,28,021.60",116081
23-Mar-2026,EQ,"324.00","329.65","316.20","336.30","321.50","319.15","320.71","508.45","316.20",13182560,"4,22,77,40,897.85",133399
20-Mar-2026,EQ,"330.05","345.35","330.05","324.80","338.95","336.30","337.51","508.45","319.50",24169602,"8,15,74,50,355.50",214662
19-Mar-2026,EQ,"340.20","340.20","321.50","349.35","327.45","324.80","328.33","508.45","319.50",25818465,"8,47,69,52,461.50",308238
18-Mar-2026,EQ,"350.00","355.45","346.25","346.20","349.00","349.35","350.38","508.45","319.50",9319269,"3,26,53,15,562.25",137079
17-Mar-2026,EQ,"354.15","355.05","340.00","353.80","346.00","346.20","345.06","508.45","319.50",14666300,"5,06,07,21,216.05",164030
16-Mar-2026,EQ,"361.00","364.95","348.30","368.75","355.60","353.80","353.51","508.45","319.50",14657696,"5,18,16,34,915.80",188450
13-Mar-2026,EQ,"379.55","379.55","366.30","384.35","369.35","368.75","371.05","508.45","319.50",5816666,"2,15,82,82,629.10",75155
12-Mar-2026,EQ,"376.40","388.85","367.50","384.25","384.20","384.35","380.82","508.45","319.50",8573492,"3,26,49,47,719.05",82645
11-Mar-2026,EQ,"388.75","393.55","382.95","387.35","383.30","384.25","388.03","508.45","319.50",7883718,"3,05,91,22,681.95",114881
10-Mar-2026,EQ,"396.00","406.65","381.10","384.55","388.70","387.35","386.00","508.45","319.50",11411957,"4,40,49,67,719.30",179199
09-Mar-2026,EQ,"385.20","389.45","370.15","404.95","384.65","384.55","380.57","508.45","319.50",24836194,"9,45,18,84,954.60",183717
06-Mar-2026,EQ,"420.00","420.00","402.10","418.40","405.25","404.95","410.82","508.45","287.55",7196619,"2,95,65,09,500.65",128204
05-Mar-2026,EQ,"403.80","426.50","400.10","401.45","416.80","418.40","412.57","508.45","287.55",10165454,"4,19,39,70,106.35",98473
04-Mar-2026,EQ,"413.80","416.40","400.10","424.50","401.80","401.45","405.65","508.45","287.55",6582702,"2,67,02,89,053.30",109364
02-Mar-2026,EQ,"421.10","435.60","415.95","438.75","425.30","424.50","427.78","508.45","287.55",12250296,"5,24,04,72,775.15",131333
27-Feb-2026,EQ,"444.00","444.05","436.10","444.00","438.50","438.75","439.62","508.45","287.55",5341791,"2,34,83,33,455.85",76864
26-Feb-2026,EQ,"438.80","445.35","436.05","436.70","444.05","444.00","440.27","508.45","287.55",4463697,"1,96,52,28,784.00",59003
25-Feb-2026,EQ,"449.70","454.70","432.45","447.05","437.35","436.70","439.10","508.45","287.55",5442008,"2,38,95,61,062.80",61830
24-Feb-2026,EQ,"437.00","448.95","436.15","438.50","447.50","447.05","442.18","508.45","287.55",3515127,"1,55,43,28,255.30",60164
23-Feb-2026,EQ,"435.00","442.00","432.60","430.90","438.45","438.50","437.88","508.45","287.55",2826172,"1,23,75,35,383.55",40242
20-Feb-2026,EQ,"430.00","435.50","426.75","434.35","431.10","430.90","430.26","508.45","287.55",4738497,"2,03,87,78,459.90",50545
19-Feb-2026,EQ,"452.80","453.30","430.90","457.05","433.30","434.35","439.70","508.45","287.55",5262959,"2,31,41,18,907.50",47274
18-Feb-2026,EQ,"456.05","458.70","454.00","454.25","457.35","457.05","456.39","508.45","287.55",1151972,"52,57,53,369.95",20295
17-Feb-2026,EQ,"451.60","454.90","444.30","452.05","454.70","454.25","449.93","508.45","287.55",1420593,"63,91,70,353.90",28480
16-Feb-2026,EQ,"448.00","452.60","445.00","450.20","451.90","452.05","448.51","508.45","287.55",879388,"39,44,11,641.40",21494
13-Feb-2026,EQ,"452.35","455.25","448.75","452.35","451.00","450.20","451.13","508.45","287.55",1912866,"86,29,45,240.55",38842
12-Feb-2026,EQ,"461.80","464.60","448.25","461.75","452.35","452.35","455.08","508.45","287.55",3949831,"1,79,74,78,755.00",71559
11-Feb-2026,EQ,"462.00","467.90","459.30","461.25","461.50","461.75","463.05","508.45","287.55",2997852,"1,38,81,41,130.45",47004
10-Feb-2026,EQ,"463.30","465.30","457.30","463.65","460.00","461.25","460.75","508.45","287.55",2618235,"1,20,63,57,806.25",47620
09-Feb-2026,EQ,"464.00","467.70","460.50","463.15","463.40","463.65","464.38","508.45","287.55",2723273,"1,26,46,24,767.55",48138
06-Feb-2026,EQ,"460.65","467.90","459.65","458.85","462.50","463.15","464.15","508.45","287.55",4702809,"2,18,27,90,542.80",59503
05-Feb-2026,EQ,"466.45","473.60","455.10","458.85","458.00","458.85","463.29","508.45","287.55",5986826,"2,77,36,22,780.35",76331
04-Feb-2026,EQ,"452.00","464.80","450.30","450.70","460.00","458.85","459.69","508.45","287.55",8077255,"3,71,30,63,582.25",56764
03-Feb-2026,EQ,"470.00","475.75","444.10","453.25","450.50","450.70","452.80","508.45","287.55",9971651,"4,51,51,61,166.35",79915
02-Feb-2026,EQ,"438.95","455.00","433.50","431.45","453.65","453.25","445.38","508.45","287.55",12394412,"5,52,01,87,767.75",109650
01-Feb-2026,EQ,"427.80","435.85","402.70","427.00","431.95","431.45","421.92","508.45","287.55",4450935,"1,87,79,19,062.25",50634
30-Jan-2026,EQ,"431.00","435.75","423.45","432.60","425.95","427.00","428.20","508.45","287.55",6429392,"2,75,30,52,327.95",84447
29-Jan-2026,EQ,"433.00","436.90","428.00","433.25","432.30","432.60","431.59","508.45","287.55",5427396,"2,34,24,13,723.50",66754
28-Jan-2026,EQ,"421.00","437.40","418.00","419.35","433.00","433.25","431.00","508.45","287.55",5268771,"2,27,08,22,441.45",72928
27-Jan-2026,EQ,"416.95","421.90","412.55","414.85","420.30","419.35","417.45","508.45","287.55",4221203,"1,76,21,55,003.25",58894
23-Jan-2026,EQ,"430.00","431.70","413.75","427.70","414.50","414.85","423.14","508.45","287.55",6140298,"2,59,81,86,926.45",80434
22-Jan-2026,EQ,"429.70","434.50","424.30","429.05","427.50","427.70","427.44","508.45","287.55",4751687,"2,03,10,83,790.85",89224
21-Jan-2026,EQ,"440.00","442.15","428.00","438.60","430.40","429.05","432.69","508.45","287.55",5200234,"2,25,01,01,400.20",55301
20-Jan-2026,EQ,"453.65","453.65","436.70","453.20","438.40","438.60","441.19","508.45","287.55",3948024,"1,74,18,47,831.20",50801
19-Jan-2026,EQ,"457.90","460.00","451.60","457.90","454.00","453.20","454.46","508.45","287.55",2624525,"1,19,27,42,080.60",39762
16-Jan-2026,EQ,"445.00","458.75","445.00","440.15","456.45","457.90","454.62","508.45","287.55",8060832,"3,66,46,25,216.55",91181
14-Jan-2026,EQ,"447.35","448.20","437.25","448.85","440.00","440.15","441.54","508.45","287.55",8097390,"3,57,52,82,667.15",60718
13-Jan-2026,EQ,"451.00","453.50","445.10","451.05","448.50","448.85","448.72","508.45","287.55",1842284,"82,66,76,944.95",39510
12-Jan-2026,EQ,"451.00","451.90","441.70","448.75","450.80","451.05","447.32","508.45","287.55",2794252,"1,24,99,27,510.70",39179
09-Jan-2026,EQ,"452.00","455.20","446.30","452.20","449.95","448.75","449.86","508.45","287.55",7018633,"3,15,74,01,249.00",96954
08-Jan-2026,EQ,"475.00","475.00","448.95","476.45","450.70","452.20","457.76","508.45","287.55",6527619,"2,98,81,00,436.85",80672
07-Jan-2026,EQ,"483.00","485.05","475.00","482.35","475.50","476.45","478.94","508.45","287.55",2548077,"1,22,03,79,282.20",41901
06-Jan-2026,EQ,"492.00","492.35","474.50","492.40","480.55","482.35","481.25","508.45","287.55",4341976,"2,08,95,94,494.80",50694
05-Jan-2026,EQ,"495.15","508.45","488.10","495.85","491.00","492.40","498.53","508.45","287.55",8489981,"4,23,24,94,928.20",76776
02-Jan-2026,EQ,"498.60","501.70","492.30","498.60","497.25","495.85","495.98","502.15","287.55",6513192,"3,23,04,11,247.85",98028
01-Jan-2026,EQ,"499.75","502.15","493.00","499.05","497.45","498.60","497.70","502.15","287.55",3287789,"1,63,63,37,267.25",62599
31-Dec-2025,EQ,"469.80","500.90","469.05","468.75","499.50","499.05","492.64","500.90","287.55",11948717,"5,88,64,24,522.60",148734
30-Dec-2025,EQ,"475.25","480.75","467.40","474.15","470.00","468.75","473.54","494.45","287.55",5380500,"2,54,78,99,024.30",78787
29-Dec-2025,EQ,"468.50","475.95","466.90","467.70","475.95","474.15","472.64","494.45","287.55",1617182,"76,43,50,525.80",35620
26-Dec-2025,EQ,"470.70","471.00","465.05","470.70","467.00","467.70","467.39","494.45","287.55",1095275,"51,19,19,822.85",19054
24-Dec-2025,EQ,"475.10","477.50","469.25","475.10","469.30","470.70","473.36","494.45","287.55",1548951,"73,32,16,595.20",25571
23-Dec-2025,EQ,"477.00","477.40","471.30","475.55","475.10","475.10","474.07","494.45","287.55",1881359,"89,18,92,951.85",38157
22-Dec-2025,EQ,"470.00","478.05","468.30","469.75","474.90","475.55","475.78","494.45","287.55",2896134,"1,37,79,12,684.75",45522
19-Dec-2025,EQ,"466.00","470.40","462.55","464.00","469.00","469.75","467.70","494.45","287.55",3305705,"1,54,60,71,938.60",63069
18-Dec-2025,EQ,"466.60","468.30","457.85","465.45","464.50","464.00","462.76","494.45","287.55",1217678,"56,34,93,661.50",22960
17-Dec-2025,EQ,"466.00","471.75","464.45","465.35","465.00","465.45","468.11","494.45","287.55",2284665,"1,06,94,78,286.70",38482
16-Dec-2025,EQ,"466.10","468.30","460.20","466.15","465.35","465.35","463.61","494.45","287.55",1508242,"69,92,30,068.00",32867
15-Dec-2025,EQ,"461.05","468.15","456.50","459.90","466.40","466.15","464.93","494.45","287.55",3139768,"1,45,97,63,707.80",71174
12-Dec-2025,EQ,"449.00","461.50","448.50","448.05","460.20","459.90","455.93","494.45","287.55",2617358,"1,19,33,40,075.80",42939
11-Dec-2025,EQ,"451.80","451.95","443.50","449.50","449.00","448.05","447.24","494.45","287.55",2284129,"1,02,15,62,731.65",40048
