DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Apr-2026,EQ,"144.95","145.67","144.10","141.08","145.14","145.22","145.13","188.96","130.22",16020870,"2,32,51,27,006.59",91029
13-Apr-2026,EQ,"139.10","141.40","137.56","142.96","141.20","141.08","139.90","188.96","130.22",21941388,"3,06,96,80,630.87",106616
10-Apr-2026,EQ,"142.26","144.10","141.91","141.67","143.00","142.96","143.01","188.96","122.35",13681094,"1,95,65,31,504.15",91064
09-Apr-2026,EQ,"142.89","142.89","140.50","143.35","141.54","141.67","141.58","188.96","122.35",22052191,"3,12,21,33,167.15",109701
08-Apr-2026,EQ,"143.00","144.30","141.10","134.44","143.58","143.35","142.76","188.96","122.35",45807508,"6,53,94,20,149.38",181116
07-Apr-2026,EQ,"132.30","134.85","131.70","134.05","134.70","134.44","133.19","188.96","122.35",20626751,"2,74,72,68,304.58",125280
06-Apr-2026,EQ,"134.13","134.80","130.51","134.13","134.15","134.05","132.22","188.96","122.35",25356388,"3,35,26,64,980.28",132606
02-Apr-2026,EQ,"134.20","134.67","130.22","135.72","134.50","134.13","132.35","188.96","122.35",22834708,"3,02,21,63,695.67",134958
01-Apr-2026,EQ,"140.00","140.00","134.50","135.40","135.65","135.72","136.36","188.96","122.35",26367709,"3,59,54,41,995.28",146357
30-Mar-2026,EQ,"135.38","138.63","134.04","137.76","136.10","135.40","136.36","188.96","122.35",28375902,"3,86,92,67,524.63",155723
27-Mar-2026,EQ,"142.99","144.37","137.35","140.52","137.36","137.76","139.08","188.96","122.35",29985724,"4,17,03,56,496.34",186802
25-Mar-2026,EQ,"141.32","141.69","139.00","138.70","140.62","140.52","140.19","188.96","122.35",22848464,"3,20,32,06,075.47",130860
24-Mar-2026,EQ,"141.58","142.50","137.02","138.11","138.80","138.70","138.70","188.96","122.35",30509694,"4,23,16,46,891.09",142250
23-Mar-2026,EQ,"141.49","142.69","137.75","144.60","137.95","138.11","139.23","188.96","122.35",21048472,"2,93,04,80,937.82",162631
20-Mar-2026,EQ,"143.60","148.13","143.60","142.73","145.09","144.60","145.80","188.96","122.35",34636614,"5,04,99,16,983.48",165967
19-Mar-2026,EQ,"145.89","146.63","142.05","148.27","143.45","142.73","143.97","188.96","122.35",20076945,"2,89,03,89,840.71",138639
18-Mar-2026,EQ,"146.80","149.08","145.96","146.68","148.18","148.27","147.89","188.96","122.35",20318430,"3,00,48,50,674.51",101128
17-Mar-2026,EQ,"149.00","149.80","145.51","148.96","146.55","146.68","146.98","188.96","122.35",19101788,"2,80,76,43,494.16",113568
16-Mar-2026,EQ,"153.01","154.60","146.88","156.54","148.79","148.96","149.38","188.96","122.35",35687077,"5,33,08,39,456.34",164760
13-Mar-2026,EQ,"158.99","160.34","155.80","160.16","156.60","156.54","157.52","188.96","120.34",11958819,"1,88,37,99,558.77",76886
12-Mar-2026,EQ,"157.40","162.25","154.06","160.63","160.20","160.16","158.97","188.96","120.34",21636039,"3,43,94,14,477.26",116029
11-Mar-2026,EQ,"160.50","162.99","159.66","159.94","160.60","160.63","161.19","188.96","120.34",22703344,"3,65,95,23,167.94",95787
10-Mar-2026,EQ,"164.44","166.86","159.12","161.22","159.99","159.94","161.22","188.96","120.34",26772223,"4,31,60,97,827.90",131141
09-Mar-2026,EQ,"158.00","162.15","156.30","168.68","161.20","161.22","159.76","188.96","120.34",40458725,"6,46,37,00,188.88",196314
06-Mar-2026,EQ,"172.06","172.94","168.05","171.54","168.10","168.68","170.04","188.96","110.72",20979104,"3,56,72,40,859.47",167158
05-Mar-2026,EQ,"171.00","175.42","169.28","170.44","171.93","171.54","172.01","188.96","110.72",32355154,"5,56,52,86,632.45",199046
04-Mar-2026,EQ,"175.00","176.17","169.21","179.11","169.75","170.44","172.06","188.96","110.72",27718538,"4,76,93,76,169.07",154526
02-Mar-2026,EQ,"181.31","182.40","176.85","187.47","179.08","179.11","179.58","188.96","110.72",31464579,"5,65,03,89,776.74",176357
27-Feb-2026,EQ,"187.11","188.96","185.77","186.47","186.98","187.47","187.63","188.96","110.72",24422609,"4,58,24,64,264.35",98543
26-Feb-2026,EQ,"183.50","186.80","182.43","183.03","186.27","186.47","184.52","186.80","110.72",17206460,"3,17,49,88,193.61",111535
25-Feb-2026,EQ,"181.00","183.80","180.51","180.19","183.00","183.03","182.57","183.80","110.72",24353791,"4,44,63,19,387.93",159617
24-Feb-2026,EQ,"176.99","181.00","176.51","176.46","180.51","180.19","179.14","182.25","110.72",22691029,"4,06,48,37,607.26",149847
23-Feb-2026,EQ,"174.89","177.30","173.67","173.79","176.50","176.46","176.04","182.25","110.72",11422407,"2,01,08,03,038.59",136676
20-Feb-2026,EQ,"173.60","174.44","172.30","174.30","173.59","173.79","173.40","182.25","110.72",8935995,"1,54,94,71,027.01",92515
19-Feb-2026,EQ,"177.71","177.99","173.39","178.74","173.80","174.30","175.91","182.25","110.72",13677449,"2,40,59,35,608.71",178597
18-Feb-2026,EQ,"175.86","179.00","175.86","175.81","178.52","178.74","177.72","182.25","110.72",8191312,"1,45,57,50,305.88",53969
17-Feb-2026,EQ,"174.95","176.15","172.17","175.15","175.75","175.81","174.25","182.25","110.72",5249228,"91,46,89,733.12",37785
16-Feb-2026,EQ,"175.90","175.90","173.45","176.77","174.90","175.15","174.52","182.25","110.72",6184219,"1,07,92,63,314.87",44699
13-Feb-2026,EQ,"177.28","177.90","176.04","178.11","176.72","176.77","176.89","182.25","110.72",9835632,"1,73,97,83,694.26",70795
12-Feb-2026,EQ,"182.25","182.25","175.30","181.31","178.11","178.11","178.24","182.25","110.72",24014261,"4,28,02,61,694.49",133514
11-Feb-2026,EQ,"178.00","181.60","176.82","178.21","181.35","181.31","179.98","181.60","110.72",25578553,"4,60,36,30,322.97",113119
10-Feb-2026,EQ,"176.79","178.90","175.20","176.16","178.00","178.21","177.51","180.90","110.72",21506950,"3,81,77,74,926.30",112160
09-Feb-2026,EQ,"175.95","177.29","175.00","175.20","175.90","176.16","176.39","180.90","110.72",12380924,"2,18,39,21,507.07",97483
06-Feb-2026,EQ,"176.99","180.90","173.28","175.77","174.90","175.20","176.42","180.90","110.72",34240417,"6,04,07,77,500.60",160275
05-Feb-2026,EQ,"174.24","177.90","172.42","172.78","175.87","175.77","175.26","177.90","110.72",34830200,"6,10,44,69,544.75",172049
04-Feb-2026,EQ,"167.00","173.70","166.32","167.58","172.62","172.78","172.13","174.50","110.72",28164545,"4,84,80,28,877.28",136902
