DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Apr-2026,EQ,"284.05","289.80","283.35","287.55","287.50","287.60","287.52","293.00","228.45",16529148,"4,75,24,59,686.75",122177
13-Apr-2026,EQ,"287.20","290.30","281.00","286.50","287.05","287.55","285.83","293.00","228.45",23986567,"6,85,60,70,697.40",144104
10-Apr-2026,EQ,"288.60","291.85","284.55","288.60","286.70","286.50","288.12","293.00","205.00",12889209,"3,71,36,69,257.40",100435
09-Apr-2026,EQ,"284.90","289.80","284.90","285.50","288.60","288.60","288.17","293.00","205.00",13585661,"3,91,49,35,961.60",99343
08-Apr-2026,EQ,"280.00","287.85","274.75","286.65","285.85","285.50","281.03","293.00","205.00",42071040,"11,82,33,69,372.95",246322
07-Apr-2026,EQ,"281.85","287.55","280.00","281.85","286.50","286.65","285.35","293.00","205.00",22891122,"6,53,20,45,037.15",129686
06-Apr-2026,EQ,"287.30","288.50","280.45","287.20","281.35","281.85","282.79","293.00","205.00",24449779,"6,91,40,84,006.30",154053
02-Apr-2026,EQ,"288.50","288.80","283.50","288.05","286.10","287.20","285.96","293.00","205.00",20935809,"5,98,68,23,176.40",131728
01-Apr-2026,EQ,"290.00","293.00","282.80","284.65","287.50","288.05","288.29","293.00","205.00",31626297,"9,11,75,86,218.45",189679
30-Mar-2026,EQ,"282.75","288.35","281.95","281.95","284.90","284.65","285.62","293.00","205.00",44866906,"12,81,49,04,223.90",271255
27-Mar-2026,EQ,"270.50","285.00","269.70","270.20","281.10","281.95","280.47","293.00","205.00",60048871,"16,84,20,87,945.90",380215
25-Mar-2026,EQ,"267.35","271.50","266.40","268.05","269.70","270.20","269.77","293.00","205.00",13380625,"3,60,97,45,745.05",111925
24-Mar-2026,EQ,"268.55","273.30","266.85","265.45","268.50","268.05","270.06","293.00","205.00",18567283,"5,01,43,13,803.40",140733
23-Mar-2026,EQ,"267.30","269.70","263.90","265.40","265.40","265.45","266.83","293.00","205.00",23991581,"6,40,15,72,610.80",181852
20-Mar-2026,EQ,"269.00","273.05","264.00","269.10","265.55","265.40","267.88","293.00","205.00",19436124,"5,20,66,19,029.70",149956
19-Mar-2026,EQ,"265.00","271.50","262.50","265.00","269.10","269.10","268.62","293.00","205.00",28685305,"7,70,53,73,467.90",192492
18-Mar-2026,EQ,"265.15","266.65","263.00","264.75","264.55","265.00","264.79","293.00","205.00",8780857,"2,32,50,59,013.60",79493
17-Mar-2026,EQ,"260.65","265.40","259.15","260.45","265.15","264.75","262.08","293.00","205.00",15662659,"4,10,48,52,328.85",217323
16-Mar-2026,EQ,"264.05","266.00","258.35","264.10","260.10","260.45","260.94","293.00","205.00",21725887,"5,66,91,98,598.30",130681
13-Mar-2026,EQ,"270.55","271.30","263.45","270.55","264.05","264.10","265.68","293.00","205.00",18411729,"4,89,16,70,367.40",115374
12-Mar-2026,EQ,"271.60","273.00","267.75","270.75","270.60","270.55","270.62","293.00","205.00",20059801,"5,42,85,08,360.20",201578
11-Mar-2026,EQ,"268.00","272.40","268.00","269.20","270.60","270.75","270.91","293.00","205.00",16130216,"4,36,98,56,931.75",327726
10-Mar-2026,EQ,"270.85","270.90","265.35","270.80","270.40","269.20","268.63","293.00","205.00",18476370,"4,96,32,96,542.20",172911
09-Mar-2026,EQ,"289.00","289.00","267.60","278.95","269.95","270.80","274.96","293.00","205.00",56512457,"15,53,89,36,687.00",487759
06-Mar-2026,EQ,"279.95","280.95","271.15","276.35","279.90","278.95","277.05","293.00","205.00",30725344,"8,51,23,79,611.30",183148
05-Mar-2026,EQ,"278.00","287.65","275.35","276.95","276.75","276.35","281.83","293.00","205.00",40569479,"11,43,37,00,824.95",373121
04-Mar-2026,EQ,"287.00","288.35","275.10","282.20","275.65","276.95","281.13","293.00","205.00",53722773,"15,10,29,71,151.10",384825
02-Mar-2026,EQ,"288.00","293.00","277.65","279.70","281.45","282.20","282.78","293.00","205.00",65843426,"18,61,95,02,429.40",636194
27-Feb-2026,EQ,"278.50","282.50","277.00","280.10","279.10","279.70","280.36","282.50","205.00",18554482,"5,20,19,93,962.45",104599
26-Feb-2026,EQ,"277.40","281.05","275.60","277.45","280.00","280.10","278.56","281.05","205.00",13301761,"3,70,52,85,240.55",170193
25-Feb-2026,EQ,"276.50","278.95","274.00","276.50","277.25","277.45","276.71","280.80","205.00",7573116,"2,09,55,73,211.95",140253
24-Feb-2026,EQ,"275.65","278.15","273.30","275.65","277.20","276.50","275.59","280.80","205.00",16311581,"4,49,52,55,939.05",171159
23-Feb-2026,EQ,"279.90","279.90","272.20","278.65","276.05","275.65","273.90","280.80","205.00",13113050,"3,59,16,97,446.90",115401
20-Feb-2026,EQ,"277.40","280.80","274.35","274.65","278.25","278.65","277.97","280.80","205.00",31971956,"8,88,72,08,063.20",191769
19-Feb-2026,EQ,"270.30","276.45","267.85","264.60","274.25","274.65","272.56","280.30","205.00",37728943,"10,28,33,32,684.90",407485
18-Feb-2026,EQ,"265.00","266.10","262.55","271.85","264.70","264.60","264.12","280.30","205.00",11621040,"3,06,93,37,980.80",208148
17-Feb-2026,EQ,"273.00","273.00","268.10","271.55","271.85","271.85","270.58","280.30","205.00",21292868,"5,76,13,93,746.80",262323
16-Feb-2026,EQ,"267.65","272.20","265.65","267.40","271.50","271.55","270.90","280.30","205.00",13247757,"3,58,88,08,728.75",186392
13-Feb-2026,EQ,"270.00","271.35","266.00","276.35","267.50","267.40","268.08","280.30","205.00",20748628,"5,56,23,34,333.40",256384
12-Feb-2026,EQ,"276.00","280.30","273.45","274.60","276.40","276.35","276.82","280.30","205.00",22753270,"6,29,84,89,152.50",202920
11-Feb-2026,EQ,"272.30","275.10","266.35","272.15","274.40","274.60","271.30","277.77","205.00",18388416,"4,98,87,93,092.10",201896
10-Feb-2026,EQ,"267.25","273.05","267.00","266.60","271.60","272.15","270.62","277.77","205.00",13459684,"3,64,25,23,929.05",129354
09-Feb-2026,EQ,"269.45","270.90","265.75","268.95","266.70","266.60","267.27","277.77","205.00",10824044,"2,89,29,88,952.35",109538
06-Feb-2026,EQ,"268.00","269.95","264.70","269.20","268.40","268.95","267.55","277.77","205.00",10013728,"2,67,91,66,080.90",81139
05-Feb-2026,EQ,"268.00","270.45","266.00","266.95","268.65","269.20","268.66","277.77","205.00",15268335,"4,10,19,91,634.25",142697
04-Feb-2026,EQ,"258.05","270.00","258.05","257.00","266.00","266.95","267.02","277.77","205.00",26628393,"7,11,02,94,665.05",187500
03-Feb-2026,EQ,"259.70","262.00","249.35","253.95","256.75","257.00","253.91","277.77","205.00",19213406,"4,87,84,59,450.95",162324
02-Feb-2026,EQ,"251.60","257.00","247.60","254.30","254.25","253.95","252.14","277.77","205.00",17015974,"4,29,04,72,548.50",120727
01-Feb-2026,EQ,"269.00","275.85","253.00","268.96","254.20","254.30","263.94","277.77","205.00",17179276,"4,53,43,68,336.45",152556
30-Jan-2026,EQ,"273.89","276.50","268.01","275.39","268.06","268.96","270.45","277.77","205.00",24420043,"6,60,43,82,032.24",229912
29-Jan-2026,EQ,"270.00","277.77","269.01","268.58","274.84","275.39","273.66","277.77","205.00",48267023,"13,20,87,29,116.06",385282
28-Jan-2026,EQ,"249.20","269.65","249.20","247.95","268.23","268.58","264.21","269.65","205.00",73427983,"19,40,01,70,626.42",442275
27-Jan-2026,EQ,"246.60","248.99","245.89","245.47","248.20","247.95","247.54","263.49","205.00",15915509,"3,93,98,00,912.69",160349
23-Jan-2026,EQ,"245.30","246.30","241.55","244.01","246.10","245.47","244.94","270.47","205.00",8080247,"1,97,92,04,536.40",105787
