DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Apr-2026,EQ,"1,455.00","1,485.70","1,450.00","1,435.40","1,482.00","1,483.80","1,472.67","1,854.00","1,275.90",1678561,"2,47,19,71,838.30",68877
13-Apr-2026,EQ,"1,425.60","1,439.40","1,412.90","1,440.20","1,438.00","1,435.40","1,430.93","1,854.00","1,275.90",1285567,"1,83,95,50,281.30",76150
10-Apr-2026,EQ,"1,461.00","1,461.00","1,426.00","1,461.60","1,438.90","1,440.20","1,436.12","1,854.00","1,209.40",2045026,"2,93,68,97,873.20",70451
09-Apr-2026,EQ,"1,452.00","1,464.00","1,433.60","1,451.40","1,461.10","1,461.60","1,452.31","1,854.00","1,209.40",1805451,"2,62,20,76,438.30",71641
08-Apr-2026,EQ,"1,484.00","1,493.00","1,445.80","1,473.40","1,453.50","1,451.40","1,455.18","1,854.00","1,209.40",2736951,"3,98,27,44,171.30",90321
07-Apr-2026,EQ,"1,435.00","1,482.00","1,431.30","1,449.50","1,473.50","1,473.40","1,470.56","1,854.00","1,209.40",1673236,"2,46,05,85,681.90",84572
06-Apr-2026,EQ,"1,435.00","1,464.90","1,433.70","1,441.50","1,450.10","1,449.50","1,453.78","1,854.00","1,209.40",1476736,"2,14,68,50,874.80",66711
02-Apr-2026,EQ,"1,390.00","1,447.00","1,383.50","1,404.50","1,439.00","1,441.50","1,426.35","1,854.00","1,209.40",2501510,"3,56,80,27,490.60",119296
01-Apr-2026,EQ,"1,412.60","1,422.80","1,395.00","1,384.00","1,405.70","1,404.50","1,409.17","1,854.00","1,209.40",1624500,"2,28,91,94,977.00",69055
30-Mar-2026,EQ,"1,380.00","1,422.00","1,367.10","1,391.60","1,414.70","1,384.00","1,381.70","1,854.00","1,209.40",3048646,"4,21,23,28,301.60",88125
27-Mar-2026,EQ,"1,395.00","1,421.00","1,385.50","1,408.50","1,386.70","1,391.60","1,400.57","1,854.00","1,209.40",2584016,"3,61,91,02,651.90",109026
25-Mar-2026,EQ,"1,422.40","1,428.70","1,393.00","1,432.70","1,403.50","1,408.50","1,414.73","1,854.00","1,209.40",4938929,"6,98,72,28,524.20",150452
24-Mar-2026,EQ,"1,414.00","1,439.20","1,400.00","1,384.00","1,433.00","1,432.70","1,421.96","1,854.00","1,209.40",3988700,"5,67,17,78,650.60",120619
23-Mar-2026,EQ,"1,366.00","1,414.60","1,357.60","1,384.80","1,389.00","1,384.00","1,396.64","1,854.00","1,209.40",3647386,"5,09,40,75,790.20",169241
20-Mar-2026,EQ,"1,360.70","1,391.00","1,355.60","1,340.60","1,386.30","1,384.80","1,383.79","1,854.00","1,209.40",3397016,"4,70,07,67,738.30",103776
19-Mar-2026,EQ,"1,364.10","1,379.30","1,331.10","1,385.20","1,350.00","1,340.60","1,351.10","1,854.00","1,209.40",1219405,"1,64,75,39,767.10",80223
18-Mar-2026,EQ,"1,346.80","1,404.70","1,344.30","1,341.80","1,382.70","1,385.20","1,389.40","1,854.00","1,209.40",2969039,"4,12,51,80,447.00",109356
17-Mar-2026,EQ,"1,340.90","1,354.80","1,318.20","1,339.50","1,339.70","1,341.80","1,343.20","1,854.00","1,209.40",1634005,"2,19,48,03,348.80",89344
16-Mar-2026,EQ,"1,324.00","1,346.40","1,315.90","1,332.80","1,340.90","1,339.50","1,333.98","1,854.00","1,209.40",2062060,"2,75,07,56,756.60",73989
13-Mar-2026,EQ,"1,342.50","1,342.50","1,319.80","1,349.80","1,332.00","1,332.80","1,330.09","1,854.00","1,209.40",1150005,"1,52,96,07,530.40",63585
12-Mar-2026,EQ,"1,334.40","1,356.50","1,327.00","1,334.40","1,354.30","1,349.80","1,346.09","1,854.00","1,209.40",3067753,"4,12,94,66,417.00",130113
11-Mar-2026,EQ,"1,343.90","1,355.40","1,330.20","1,336.60","1,334.20","1,334.40","1,342.65","1,854.00","1,209.40",1499971,"2,01,39,42,110.30",90461
10-Mar-2026,EQ,"1,340.00","1,347.90","1,316.70","1,336.30","1,339.00","1,336.60","1,329.63","1,854.00","1,209.40",1069187,"1,42,16,25,555.00",72842
09-Mar-2026,EQ,"1,305.00","1,340.40","1,304.10","1,331.70","1,333.10","1,336.30","1,325.23","1,854.00","1,209.40",1032250,"1,36,79,68,161.90",83963
06-Mar-2026,EQ,"1,330.00","1,359.50","1,326.60","1,333.30","1,335.60","1,331.70","1,338.62","1,854.00","1,209.40",1033627,"1,38,36,36,074.80",72260
05-Mar-2026,EQ,"1,358.00","1,366.70","1,319.30","1,351.20","1,332.50","1,333.30","1,334.17","1,854.00","1,209.40",1210010,"1,61,43,54,605.40",88882
04-Mar-2026,EQ,"1,321.00","1,362.20","1,321.00","1,345.40","1,347.40","1,351.20","1,350.08","1,854.00","1,209.40",1820421,"2,45,77,17,079.10",107669
02-Mar-2026,EQ,"1,335.00","1,362.80","1,322.20","1,357.80","1,344.50","1,345.40","1,344.23","1,854.00","1,209.40",1564363,"2,10,28,56,983.00",80943
27-Feb-2026,EQ,"1,391.00","1,410.40","1,354.00","1,361.80","1,354.30","1,357.80","1,365.89","1,854.00","1,209.40",2601590,"3,55,34,96,466.60",82116
26-Feb-2026,EQ,"1,366.40","1,396.60","1,360.40","1,361.80","1,363.00","1,361.80","1,376.12","1,854.00","1,209.40",1587449,"2,18,45,21,002.30",81031
25-Feb-2026,EQ,"1,355.10","1,397.70","1,351.40","1,345.40","1,356.00","1,361.80","1,370.52","1,854.00","1,209.40",2683571,"3,67,78,94,121.80",79781
24-Feb-2026,EQ,"1,420.00","1,423.20","1,335.30","1,440.90","1,352.00","1,345.40","1,359.59","1,854.00","1,209.40",7441035,"10,11,67,74,291.50",174695
23-Feb-2026,EQ,"1,459.50","1,470.00","1,430.00","1,456.90","1,437.20","1,440.90","1,442.59","1,854.00","1,209.40",2660793,"3,83,84,23,249.10",88131
20-Feb-2026,EQ,"1,465.00","1,477.30","1,453.10","1,479.30","1,464.00","1,456.90","1,461.81","1,854.00","1,209.40",1599813,"2,33,86,21,641.80",50639
19-Feb-2026,EQ,"1,506.80","1,532.80","1,472.30","1,504.80","1,475.50","1,479.30","1,499.28","1,854.00","1,209.40",1108260,"1,66,15,95,996.50",49139
18-Feb-2026,EQ,"1,524.60","1,528.60","1,481.70","1,523.80","1,500.00","1,504.80","1,496.22","1,854.00","1,209.40",1989222,"2,97,63,10,319.00",87114
17-Feb-2026,EQ,"1,512.70","1,547.50","1,506.00","1,512.70","1,520.00","1,523.80","1,532.28","1,854.00","1,209.40",1781501,"2,72,97,61,162.60",102592
16-Feb-2026,EQ,"1,526.00","1,541.90","1,494.70","1,534.40","1,513.90","1,512.70","1,513.42","1,854.00","1,209.40",1873472,"2,83,53,52,677.10",52588
13-Feb-2026,EQ,"1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","1,534.40","1,515.28","1,854.00","1,209.40",7058376,"10,69,54,37,699.00",187637
12-Feb-2026,EQ,"1,605.00","1,611.00","1,528.00","1,634.40","1,529.80","1,536.60","1,557.28","1,854.00","1,209.40",5343729,"8,32,16,69,384.10",165502
11-Feb-2026,EQ,"1,655.00","1,658.00","1,625.00","1,644.60","1,625.10","1,634.40","1,640.42","1,854.00","1,209.40",1521823,"2,49,64,33,153.20",70831
10-Feb-2026,EQ,"1,625.00","1,658.50","1,611.10","1,621.70","1,646.00","1,644.60","1,645.11","1,854.00","1,209.40",1527966,"2,51,36,67,059.50",74788
09-Feb-2026,EQ,"1,625.00","1,636.00","1,613.60","1,619.90","1,619.00","1,621.70","1,622.08","1,854.00","1,209.40",933821,"1,51,47,36,399.80",61890
06-Feb-2026,EQ,"1,645.00","1,645.90","1,600.00","1,646.20","1,616.00","1,619.90","1,616.39","1,854.00","1,209.40",1988639,"3,21,44,09,373.00",93137
05-Feb-2026,EQ,"1,630.10","1,659.10","1,630.00","1,645.30","1,645.00","1,646.20","1,642.63","1,854.00","1,209.40",1720981,"2,82,69,27,307.30",78174
04-Feb-2026,EQ,"1,651.00","1,656.00","1,598.00","1,716.50","1,639.00","1,645.30","1,629.09","1,854.00","1,209.40",4823180,"7,85,73,90,285.70",157441
03-Feb-2026,EQ,"1,845.00","1,854.00","1,712.70","1,724.00","1,712.70","1,716.50","1,738.83","1,854.00","1,209.40",2711705,"4,71,51,92,863.40",109496
02-Feb-2026,EQ,"1,713.70","1,729.60","1,709.20","1,717.30","1,723.80","1,724.00","1,720.69","1,776.60","1,209.40",1030696,"1,77,35,11,003.40",82350
01-Feb-2026,EQ,"1,732.00","1,766.40","1,706.40","1,743.10","1,711.00","1,717.30","1,738.77","1,776.60","1,209.40",654184,"1,13,74,77,980.60",31624
30-Jan-2026,EQ,"1,757.10","1,760.00","1,731.00","1,768.40","1,735.20","1,743.10","1,742.35","1,776.60","1,209.40",1672787,"2,91,45,81,538.20",76348
29-Jan-2026,EQ,"1,751.10","1,776.60","1,736.10","1,762.90","1,765.10","1,768.40","1,759.86","1,776.60","1,209.40",1893136,"3,33,16,57,273.10",123063
28-Jan-2026,EQ,"1,748.00","1,765.70","1,739.90","1,745.10","1,760.00","1,762.90","1,754.07","1,765.70","1,209.40",2534826,"4,44,62,70,196.10",122533
27-Jan-2026,EQ,"1,720.00","1,749.00","1,700.00","1,701.10","1,748.00","1,745.10","1,728.01","1,749.00","1,209.40",2932973,"5,06,82,18,006.70",155304
23-Jan-2026,EQ,"1,699.00","1,709.70","1,689.20","1,687.40","1,700.70","1,701.10","1,702.19","1,736.40","1,209.40",1831521,"3,11,76,02,596.10",85431
22-Jan-2026,EQ,"1,695.00","1,712.60","1,682.70","1,686.70","1,690.30","1,687.40","1,697.63","1,736.40","1,209.40",3123567,"5,30,26,56,502.10",94240
21-Jan-2026,EQ,"1,678.50","1,694.30","1,660.10","1,678.50","1,684.40","1,686.70","1,678.86","1,736.40","1,209.40",1766163,"2,96,51,48,909.90",97250
20-Jan-2026,EQ,"1,715.00","1,716.70","1,675.00","1,718.30","1,675.70","1,678.50","1,684.25","1,736.40","1,209.40",1825981,"3,07,54,05,018.30",107605
19-Jan-2026,EQ,"1,690.00","1,736.00","1,673.50","1,670.50","1,710.40","1,718.30","1,723.87","1,736.40","1,209.40",10621562,"18,31,01,87,592.80",288462
16-Jan-2026,EQ,"1,600.00","1,680.70","1,600.00","1,588.50","1,672.00","1,670.50","1,653.10","1,736.40","1,209.40",3733401,"6,17,16,88,634.50",115095
14-Jan-2026,EQ,"1,612.90","1,613.00","1,583.10","1,614.80","1,592.20","1,588.50","1,598.90","1,736.40","1,209.40",1570385,"2,51,08,81,640.30",48075
13-Jan-2026,EQ,"1,582.00","1,622.90","1,582.00","1,586.10","1,610.00","1,614.80","1,608.54","1,736.40","1,209.40",2573438,"4,13,94,83,080.70",69930
12-Jan-2026,EQ,"1,572.10","1,594.00","1,562.80","1,582.20","1,585.00","1,586.10","1,581.41","1,736.40","1,209.40",652320,"1,03,15,82,766.80",48293
09-Jan-2026,EQ,"1,583.00","1,606.40","1,578.10","1,577.90","1,583.20","1,582.20","1,585.41","1,736.40","1,209.40",1410053,"2,23,55,09,806.50",61199
08-Jan-2026,EQ,"1,625.00","1,632.80","1,574.50","1,625.20","1,575.90","1,577.90","1,593.93","1,736.40","1,209.40",1657201,"2,64,14,57,645.00",69892
07-Jan-2026,EQ,"1,599.00","1,633.90","1,595.80","1,601.80","1,630.00","1,625.20","1,622.36","1,736.40","1,209.40",1309781,"2,12,49,38,761.50",50984
06-Jan-2026,EQ,"1,603.90","1,625.40","1,596.10","1,596.90","1,599.80","1,601.80","1,604.84","1,736.40","1,209.40",570335,"91,52,98,763.50",36268
05-Jan-2026,EQ,"1,601.90","1,610.10","1,576.10","1,612.00","1,598.80","1,596.90","1,594.95","1,736.40","1,209.40",907810,"1,44,79,10,067.80",44510
02-Jan-2026,EQ,"1,611.00","1,619.10","1,601.90","1,607.70","1,612.20","1,612.00","1,611.82","1,773.60","1,209.40",637080,"1,02,68,61,194.00",32770
01-Jan-2026,EQ,"1,591.00","1,613.50","1,587.20","1,590.90","1,607.00","1,607.70","1,603.99","1,773.60","1,209.40",565878,"90,76,64,346.00",25823
31-Dec-2025,EQ,"1,614.80","1,614.80","1,588.30","1,604.60","1,591.00","1,590.90","1,595.36","1,773.60","1,209.40",729913,"1,16,44,74,323.50",30316
30-Dec-2025,EQ,"1,614.90","1,616.20","1,599.00","1,612.40","1,602.80","1,604.60","1,604.79","1,773.60","1,209.40",1973547,"3,16,71,36,237.10",72189
